mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,eval_sample_id,source_sample_id,mesh_size_mm,method
0.019932573661208153,0.03130693733692169,0.05552862584590912,0.09929309785366058,0.2125028818845749,165,2634,0.03656502401124693,trajectory_bend_Base_TC4_sample_0139.npz,139,139,1.0,pod_oracle
0.02910342812538147,0.04365328326821327,0.06414801627397537,0.09961359947919846,0.21151617169380188,165,2654,0.04558951609278274,trajectory_bend_Base_TC4_sample_0139.npz,139,139,1.0,rom
0.004353174939751625,0.007165624760091305,0.018637506291270256,0.035355523228645325,0.13273414969444275,9,4647,0.012000827823712326,trajectory_bend_Base_TC4_sample_0175.npz,175,139,1.25,roundtrip
0.017096329480409622,0.025492364540696144,0.052658893167972565,0.09775430709123611,0.2121417075395584,179,1526,0.033920812950447264,trajectory_bend_Base_TC4_sample_0175.npz,175,139,1.25,pod_oracle
0.026574010029435158,0.041443485766649246,0.06773146241903305,0.10995515435934067,0.21718047559261322,165,1607,0.04469063639616972,trajectory_bend_Base_TC4_sample_0175.npz,175,139,1.25,rom
0.003674510633572936,0.005914183799177408,0.013412466272711754,0.03734546899795532,0.13943272829055786,9,20164,0.007846309463538122,trajectory_bend_Base_TC4_sample_0187.npz,187,15,0.8,roundtrip
0.017717065289616585,0.03238000348210335,0.0548238605260849,0.10235781222581863,0.24436189234256744,157,6959,0.023730228113941758,trajectory_bend_Base_TC4_sample_0187.npz,187,15,0.8,pod_oracle
0.03342461958527565,0.0792279839515686,0.10137853771448135,0.13691987097263336,0.2315623164176941,157,6990,0.04035782053193644,trajectory_bend_Base_TC4_sample_0187.npz,187,15,0.8,rom
0.004188790917396545,0.006488238926976919,0.014259085059165955,0.03972195088863373,0.1451999992132187,9,12605,0.008615489896114228,trajectory_bend_Base_TC4_sample_0015.npz,15,15,1.0,roundtrip
0.019445743411779404,0.03305183723568916,0.05650489404797554,0.10191485285758972,0.2361883819103241,154,4519,0.02501611369017965,trajectory_bend_Base_TC4_sample_0015.npz,15,15,1.0,pod_oracle
0.030458200722932816,0.056249186396598816,0.07138389348983765,0.11216112971305847,0.24779914319515228,9,12604,0.0329829820160111,trajectory_bend_Base_TC4_sample_0015.npz,15,15,1.0,rom
0.0045351809822022915,0.0073450286872684956,0.016211723908782005,0.03635982424020767,0.139837384223938,5,8121,0.008239385421485524,trajectory_bend_Base_TC4_sample_0188.npz,188,15,1.25,roundtrip
