source_sample_id,eval_sample_id,mesh_size_mm,frame,world_radius_mm,num_world_edges,world_edges_per_node,world_degree_all_mean,world_degree_all_p05,world_degree_all_p50,world_degree_all_p95,world_degree_all_max,world_degree_tube_mean,world_degree_tube_p05,world_degree_tube_p50,world_degree_tube_p95,world_degree_tube_max,world_len_mm_mean,world_len_mm_p05,world_len_mm_p50,world_len_mm_p95,world_len_mm_max,world_zlen_abs_p95,world_zlen_abs_max,world_z_any_abs_gt3_frac,world_raw_outside_train_range_frac,world_len_outside_train_range_frac
139,139,1.0,90,2.0,292532,9.254998734497596,9.254998207092285,0.0,11.0,26.0,31.0,17.128965377807617,2.0,17.0,27.0,31.0,1.4774024486541748,0.6287360191345215,1.5643712282180786,1.972808837890625,1.9999994039535522,3.7508950233459473,5.792786598205566,0.32858628034591675,0.8365170359611511,0.7075943946838379
139,139,1.0,135,2.0,262796,8.31422424702607,8.314224243164062,0.0,10.0,25.0,31.0,15.468334197998047,2.0,16.0,27.0,31.0,1.4727433919906616,0.6182535290718079,1.5618290901184082,1.9730224609375,1.999999761581421,3.760751247406006,5.797771453857422,0.3261617422103882,0.8411924242973328,0.7153229117393494
139,139,1.0,179,2.0,231558,7.325930144267274,7.325930118560791,0.0,2.0,21.0,33.0,13.715167999267578,2.0,15.0,26.0,33.0,1.4659751653671265,0.5998671054840088,1.5558741092681885,1.9737396240234375,1.9999953508377075,3.7756998538970947,5.790966987609863,0.3254130482673645,0.8536953926086426,0.7203119397163391
139,174,0.8,0,2.0,896746,18.412541321889822,18.412540435791016,0.0,19.0,46.0,54.0,36.39317321777344,25.0,35.0,48.0,54.0,1.4882845878601074,0.7083852887153625,1.5891876220703125,1.946409821510315,1.9999945163726807,3.678582191467285,5.8151164054870605,0.1891951560974121,0.8502095341682434,0.7417975664138794
139,174,0.8,45,2.0,852010,17.49399420980227,17.493993759155273,0.0,18.0,46.0,52.0,34.87556838989258,22.0,33.0,47.0,52.0,1.482946515083313,0.6756200790405273,1.5875868797302246,1.9458587169647217,1.999998688697815,3.68148136138916,5.795932769775391,0.19360336661338806,0.8524031639099121,0.7465382218360901
139,174,0.8,90,2.0,790384,16.228651212450977,16.22865104675293,0.0,17.0,45.0,52.0,32.78499221801758,12.0,32.0,47.0,52.0,1.4808557033538818,0.6643983125686646,1.588813066482544,1.9471756219863892,1.999998927116394,3.685002565383911,5.793816566467285,0.195095032453537,0.8638889193534851,0.7546053528785706
139,174,0.8,135,2.0,722490,14.834609777631767,14.834609985351562,0.0,16.0,45.0,54.0,30.481782913208008,12.0,31.0,47.0,54.0,1.4802640676498413,0.6654432415962219,1.5891685485839844,1.9464033842086792,1.9999923706054688,3.6803314685821533,5.791065692901611,0.1905742734670639,0.8684771060943604,0.7649158239364624
139,174,0.8,179,2.0,657696,13.504219452600456,13.504219055175781,0.0,12.0,37.0,52.0,28.283735275268555,12.0,31.0,46.0,52.0,1.482600212097168,0.6459689140319824,1.5904417037963867,1.9478024244308472,1.9999966621398926,3.677004337310791,5.790946006774902,0.19725830852985382,0.8840953707695007,0.7664452791213989
139,175,1.25,0,2.0,119798,5.988103568929321,5.98810338973999,0.0,7.0,15.0,20.0,10.284855842590332,5.0,10.0,16.0,20.0,1.4234261512756348,0.49032747745513916,1.4753022193908691,1.9447129964828491,1.9999421834945679,3.791412353515625,5.802005767822266,0.21985343098640442,0.8900482654571533,0.6337334513664246
139,175,1.25,45,2.0,112364,5.616515045486354,5.616514682769775,0.0,7.0,14.0,19.0,9.646635055541992,4.0,9.0,15.0,19.0,1.411592721939087,0.4001232385635376,1.4623241424560547,1.9463262557983398,1.9999760389328003,3.8910887241363525,5.803290843963623,0.22500088810920715,0.8695311546325684,0.626001238822937
